scheme,bits,is128,nanos
vector-shift,1728,FALSE,68.34392163910856
vector-shift,1760,FALSE,73.43651473549332
vector-shift,1792,FALSE,73.21574650512581
vector-shift,1824,FALSE,76.31115727565927
vector-shift,1856,FALSE,76.98892471042471
vector-shift,1888,FALSE,73.46732914375491
vector-shift,1920,FALSE,79.722546434991
vector-shift,1952,FALSE,79.24869847715736
vector-shift,1984,FALSE,83.28693148988856
vector-shift,2016,FALSE,78.96157055986579
vector-shift,2048,FALSE,84.72764806135493
pair-shift,64,FALSE,11.07484144945286
pair-shift,128,FALSE,12.507947895311377
pair-shift,192,FALSE,14.385726067334957
pair-shift,256,FALSE,15.586523336617056
pair-shift,320,FALSE,17.118735647485607
pair-shift,384,FALSE,18.45194296896841
pair-shift,448,FALSE,19.646157860404436
pair-shift,512,FALSE,20.773360668832208
pair-shift,576,FALSE,22.54586748142823
pair-shift,640,FALSE,23.44261465752513
pair-shift,704,FALSE,25.77813209343194
pair-shift,768,FALSE,27.535491652687917
pair-shift,832,FALSE,26.25356438213915
pair-shift,896,FALSE,30.125454291305562
pair-shift,960,FALSE,28.981606590114826
pair-shift,1024,FALSE,33.11783683033337
pair-shift,1088,FALSE,35.660985628606994
pair-shift,1152,FALSE,38.048334531512104
pair-shift,1216,FALSE,34.00632983432401
pair-shift,1280,FALSE,39.36528025562508
pair-shift,1344,FALSE,36.66448560246016
pair-shift,1408,FALSE,40.686908318687756
pair-shift,1472,FALSE,42.28638548683404
pair-shift,1536,FALSE,46.20488097140118
pair-shift,1600,FALSE,42.06747212514561
pair-shift,1664,FALSE,45.949413291796475
pair-shift,1728,FALSE,47.93017613227894
pair-shift,1792,FALSE,49.03751724137931
pair-shift,1856,FALSE,51.103138996138995
pair-shift,1920,FALSE,55.272756141402034
pair-shift,1984,FALSE,52.797117210070155
pair-shift,2048,FALSE,58.826832126118454
poly,64,FALSE,27.128542959077716
poly,128,FALSE,42.8722639047898
poly,192,FALSE,58.11172231319142
poly,256,FALSE,73.94984770627546
poly,320,FALSE,89.58126934469331
poly,384,FALSE,106.1654566875674
poly,448,FALSE,120.41207902339018
poly,512,FALSE,136.7887549922786
poly,576,FALSE,151.69514078600528
poly,640,FALSE,167.5939732410304
poly,704,FALSE,182.23864172219373
poly,768,FALSE,198.0279399313044
poly,832,FALSE,214.38624697127037
poly,896,FALSE,229.00158699096076
poly,960,FALSE,246.2268267598602
poly,1024,FALSE,261.830181062946
poly,1088,FALSE,277.15254611293426
poly,1152,FALSE,291.0763898873712
poly,1216,FALSE,308.3695636777539
poly,1280,FALSE,323.46624950073226
poly,1344,FALSE,341.7774671512441
poly,1408,FALSE,355.9446426479203
poly,1472,FALSE,368.9576638089406
poly,1536,FALSE,384.7671113596421
poly,1600,FALSE,402.1444849392578
poly,1664,FALSE,417.6858186223607
poly,1728,FALSE,431.2527821710999
poly,1792,FALSE,448.6725573159366
poly,1856,FALSE,462.54677413127416
poly,1920,FALSE,479.63156780507285
poly,1984,FALSE,493.19521460998754
poly,2048,FALSE,509.2172560715807
poly,2112,FALSE,531.2582491212653
poly,2176,FALSE,548.3426210955183
poly,2240,FALSE,559.815531220876
poly,2304,FALSE,571.6265276779295
poly,2368,FALSE,586.1380763546798
poly,2432,FALSE,608.5661927649886
poly,2496,FALSE,628.238759086189
poly,2560,FALSE,633.151517976032
poly,2624,FALSE,658.3825518558951
poly,2688,FALSE,668.3092815208274
poly,2752,FALSE,688.2886086458631
poly,2816,FALSE,696.0433157586408
poly,2880,FALSE,712.479041342121
poly,2944,FALSE,728.2897244335579
poly,3008,FALSE,744.7055381727158
poly,3072,FALSE,764.3883956535634
poly-shift-triple,64,FALSE,13.94138162624138
poly-shift-triple,128,FALSE,30.488684602891446
poly-shift-triple,192,FALSE,47.54739845840489
poly-shift-triple,256,FALSE,62.0258034026465
poly-shift-triple,320,FALSE,77.76220787433022
poly-shift-triple,384,FALSE,93.3593486161588
poly-shift-triple,448,FALSE,109.71196952753705
poly-shift-triple,512,FALSE,126.48078917940254
poly-shift-triple,576,FALSE,140.7503366882339
poly-shift-triple,640,FALSE,157.07832789722426
poly-shift-triple,704,FALSE,173.32296551219156
poly-shift-triple,768,FALSE,187.6713411614346
poly-shift-triple,832,FALSE,204.33224991346486
poly-shift-triple,896,FALSE,220.33675053583076
poly-shift-triple,960,FALSE,235.31048726909634
poly-shift-triple,1024,FALSE,253.01319735861117
poly-shift-triple,1088,FALSE,267.0903428765418
poly-shift-triple,1152,FALSE,283.5075952552121
poly-shift-triple,1216,FALSE,299.32673580371824
poly-shift-triple,1280,FALSE,312.8143203301824
poly-shift-triple,1344,FALSE,329.67433463796476
poly-shift-triple,1408,FALSE,345.7006707674283
